id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s]
40235.018,28.0,205.194,508.169,947.71,205.205,508.283,948.933,200.0,212.0,502.0,512.0,928.0,969.0,1369.0,41.0,61.0,6.4663,3.1889,-54.6489,5.3431,2.8186,-57.8993,529.533,1.0207,3.5861,110.0323,0.2077,68.9164,29.5922,20.295,37.3456,4.8378947,6.563064,-54890.694
40235.024,39.0,363.237,400.996,947.496,363.262,400.963,948.247,357.0,371.0,394.0,410.0,931.0,964.0,3176.0,33.0,149.0,7.9174,6.227,-24.7314,7.0917,5.4442,-38.4303,1430.0963,1.455,104.4542,27.6453,0.2108,120.4052,21.1694,14.7283,13.3609,2.2036126,4.7743912,-55395.491
40235.055,83.0,12.619,91.613,985.476,12.662,91.557,985.048,6.0,19.0,88.0,97.0,975.0,996.0,666.0,21.0,70.0,6.094,3.8684,84.5939,5.7359,3.5152,-87.4324,193.4883,1.1565,12.0454,77.919,0.2635,28.4526,16.7998,14.8857,15.8586,8.0469571,-0.38238017,-28305.383
41035.007,8.0,474.359,58.498,511.773,474.27,58.4,511.561,470.0,482.0,52.0,67.0,494.0,533.0,2854.0,39.0,124.0,7.6733,5.0402,34.0016,7.4409,4.5714,32.4512,621.1703,0.8097,20.0788,19.0379,0.1932,60.1839,25.5514,18.8485,23.5025,0.35347093,7.065016,-376849.93
43435.005,5.0,265.244,217.794,873.607,265.539,217.819,873.78,258.0,274.0,211.0,225.0,856.0,893.0,3425.0,37.0,155.0,7.5955,5.9406,55.192,7.3228,5.3095,57.4589,871.2309,0.9141,77.4896,192.3305,0.2026,73.4734,29.0865,17.6609,10.6748,3.8323297,33.722055,-110212.32
43435.018,25.0,214.757,27.893,911.167,214.704,27.912,911.672,213.0,218.0,24.0,34.0,894.0,926.0,580.0,32.0,34.0,4.123,2.2503,-3.536,3.9433,2.0436,1.1524,128.2544,0.7518,0.0,337.1457,0.1814,29.3614,25.5882,15.4935,0.0,4.6795766,30.55693,-82319.055
43435.021,29.0,335.499,171.59,922.0,335.455,171.636,921.969,333.0,340.0,168.0,177.0,904.0,940.0,1116.0,36.0,49.0,4.4509,3.4789,9.9666,3.9214,3.0002,2.914,231.8267,0.6749,7.8249,1.5093,0.1607,43.1918,29.1582,15.6663,28.7703,2.6670579,32.952337,-74739.122
43435.027,38.0,198.414,385.452,931.354,198.433,385.424,931.35,194.0,206.0,380.0,399.0,909.0,953.0,2010.0,44.0,92.0,6.5103,5.3424,-0.3784,6.0854,4.6893,-1.1288,436.6986,0.8549,6.2621,101.5022,0.2059,47.2975,36.1318,27.8169,38.7645,4.9507634,36.51548,-67834.057
43435.044,68.0,118.97,436.73,953.257,118.847,436.642,954.496,111.0,126.0,431.0,443.0,930.0,976.0,3970.0,46.0,135.0,7.8438,5.6407,71.0001,7.222,4.8931,71.1392,1271.577,1.1977,0.0,265.8578,0.2064,97.7982,31.2763,22.0935,0.0,6.2772067,37.369107,-50795.509
43435.156,268.0,396.798,17.038,1057.368,396.812,17.178,1056.673,390.0,406.0,13.0,23.0,1042.0,1074.0,2454.0,32.0,129.0,7.7999,5.0854,80.1872,7.1031,4.6421,82.6228,643.8652,1.0188,0.0,235.4544,0.1798,72.2957,22.4229,15.573,0.0,1.6444424,30.378032,24419.433
43435.207,352.0,268.546,293.296,1235.14,268.482,293.341,1234.747,265.0,272.0,288.0,298.0,1215.0,1264.0,449.0,49.0,35.0,5.813,2.2321,-24.9283,4.4835,1.7083,-27.2981,266.8579,1.7578,8.0821,151.8204,0.2548,49.433,38.9689,25.7302,37.6905,3.7832783,34.980755,155503.78
120235.002,2.0,475.18,366.293,255.532,475.155,366.365,255.973,473.0,479.0,363.0,371.0,226.0,280.0,934.0,54.0,37.0,4.1973,2.3409,-11.4951,3.0148,1.8426,-12.7389,639.893,2.992,0.0,353.0506,0.1976,105.9594,36.1223,17.6762,0.0,8.3387452,4.1977662,-564994.34
120235.005,9.0,340.319,428.003,519.098,340.377,427.868,519.392,337.0,346.0,421.0,434.0,495.0,545.0,2675.0,50.0,89.0,6.5386,4.5268,-5.6572,5.8449,3.8101,-6.3085,765.8601,0.9743,40.7204,346.3621,0.2015,73.489,38.3237,26.9067,26.0028,10.585043,5.2228078,-371085.21
120235.009,13.0,327.852,419.682,546.812,327.942,419.874,545.717,324.0,333.0,415.0,425.0,523.0,572.0,1894.0,49.0,61.0,4.7623,3.9956,-3.5478,3.9606,3.2596,-2.4638,643.5724,1.1921,24.8807,134.292,0.1994,74.1543,41.2183,29.89,31.7089,10.792289,5.0895762,-351706.99
120235.016,22.0,3.534,470.999,938.704,3.418,471.012,940.278,0.0,9.0,465.0,479.0,914.0,965.0,2674.0,51.0,86.0,6.587,4.1697,-3.5236,5.271,3.7744,-5.3391,1075.2144,1.1914,18.5909,225.0747,0.2105,98.7748,38.8162,27.4357,38.7435,16.201042,5.941882,-61261.39
120235.031,45.0,293.543,501.239,938.706,293.802,501.48,940.275,287.0,301.0,497.0,507.0,922.0,954.0,1834.0,32.0,102.0,6.8437,4.6103,86.4583,5.8077,3.9142,85.6126,896.4122,1.347,21.7672,257.2458,0.2514,83.2668,23.8017,15.1754,24.2727,11.361291,6.4496756,-61263.579
120235.049,82.0,195.216,470.099,952.291,195.001,470.04,952.892,192.0,200.0,466.0,475.0,936.0,971.0,1092.0,35.0,50.0,4.0778,3.8601,-0.039,3.7504,3.3089,-7.7626,489.1749,1.1005,25.94,193.4059,0.2335,63.3905,25.6362,17.0864,21.4527,13.007989,5.9256806,-51976.338
120235.079,131.0,349.62,273.661,966.742,349.647,273.542,966.855,346.0,354.0,269.0,279.0,950.0,985.0,1167.0,35.0,53.0,5.1138,3.1939,-19.819,4.4646,2.8319,-21.5768,572.408,1.2783,21.8075,331.1002,0.2652,63.1839,26.6607,20.7991,25.0831,10.430537,2.6507007,-41697.706
120235.089,153.0,225.789,423.058,986.383,225.832,422.974,986.771,221.0,232.0,418.0,429.0,971.0,1002.0,1680.0,31.0,84.0,6.4371,4.0145,52.7835,5.5828,3.4283,53.6811,808.176,1.1096,49.0177,54.8238,0.2601,75.807,25.6916,22.258,19.8702,12.494131,5.1412456,-27037.117
123435.005,6.0,233.555,4.888,502.54,233.464,4.721,502.287,227.0,241.0,0.0,12.0,480.0,526.0,3821.0,46.0,127.0,6.8543,5.8,88.7505,6.2945,5.2766,-83.421,807.5599,0.8126,22.9524,104.9026,0.1723,75.8403,33.6862,23.7747,32.0738,12.366927,30.170409,-383677.11
123435.007,8.0,200.421,63.14,565.676,200.58,63.246,565.184,195.0,207.0,57.0,71.0,545.0,589.0,3420.0,44.0,116.0,7.7134,5.007,-32.3366,7.3849,4.3132,-32.3317,657.2443,0.8045,13.0737,359.6919,0.1607,69.9468,36.7151,25.1059,36.7174,12.914992,31.145831,-337376.64
123435.012,13.0,214.794,313.344,876.436,214.746,313.351,876.181,212.0,218.0,307.0,319.0,867.0,886.0,433.0,19.0,39.0,5.9596,1.9364,-18.0987,5.1642,1.8965,-19.474,140.3348,1.0211,8.1929,155.5026,0.2291,29.4369,16.5305,15.1967,16.2498,12.678898,35.314249,-108444.8
123435.016,17.0,185.999,124.129,943.726,186.298,123.942,945.115,182.0,192.0,121.0,129.0,923.0,965.0,1274.0,42.0,51.0,4.9935,3.2553,62.3284,4.0527,2.855,60.5822,440.6861,1.5306,27.0465,256.7735,0.162,76.2268,30.4947,22.6522,22.1551,13.153041,32.157429,-57701.107
200235.004,6.0,450.422,159.837,796.425,450.512,159.887,796.309,447.0,454.0,156.0,163.0,774.0,822.0,723.0,48.0,33.0,4.0335,2.5945,-39.1365,2.3742,1.9181,-53.0861,595.1695,3.5866,13.9185,317.4307,0.2834,78.1066,39.7384,29.9693,39.4324,16.749465,0.75645634,-167240.27
200235.006,8.0,256.208,296.352,887.767,256.225,296.232,888.139,252.0,260.0,291.0,301.0,872.0,906.0,900.0,34.0,45.0,5.0638,2.7547,33.2496,4.2687,2.6017,34.0589,215.466,0.8574,5.3144,217.1321,0.2104,34.1294,29.7664,20.5921,29.8526,19.987602,3.0288656,-99642.085
200235.04,49.0,445.929,410.897,944.821,445.958,410.838,945.738,443.0,450.0,406.0,416.0,927.0,961.0,1218.0,34.0,60.0,5.3836,3.5887,12.8388,4.807,3.0961,16.8958,408.7852,0.8544,7.9442,229.3359,0.2151,54.4568,26.7401,17.0367,27.587,16.825379,4.9389749,-57242.339
200235.148,227.0,160.777,437.406,1097.936,160.981,437.414,1097.797,157.0,165.0,435.0,441.0,1081.0,1115.0,645.0,34.0,37.0,4.1649,2.7365,-85.621,3.5029,2.2627,-88.3823,269.0929,1.1503,0.0,95.3787,0.2079,50.958,26.2969,14.5988,0.0,21.575001,5.3819044,54691.655
201035.004,11.0,330.034,39.389,927.643,330.013,39.382,927.855,325.0,337.0,35.0,45.0,910.0,947.0,1718.0,37.0,83.0,5.4979,4.5168,-66.1401,5.1991,4.0812,-70.967,407.3558,0.8771,0.0,293.3446,0.202,48.6501,28.9544,21.2942,0.0,18.757786,6.7480465,-70406.729
